"","Rat_EntrezGene.ID","Mouse_EntrezGene.ID","MouseVsRat_EntrezGene.ID"
"128","288878","258548","258548_288878"
"129","366804","258546","258546_366804"
"130","288831","258545","258545_288831"
"131","288813","258542","258542_288813"
"132","100911571","258540","258540_100911571"
"133","499964","13799","13799_499964"
"134","315345","56447","56447_315345"
"135","24223","12010","12010_24223"
"136","364754","14370","14370_364754"
"137","24387","14580","14580_24387"
"138","103692131","15396","15396_103692131"
"139","500574","18509","18509_500574"
"140","192109","18993","18993_192109"
"141","305501","22778","22778_305501"
"142","25099","15376","15376_25099"
"143","305858","18424","18424_305858"
"144","312777","14011","14011_312777"
"145","29147","16450","16450_29147"
"146","25695","12609","12609_25695"
"147","29627","14800","14800_29627"
"148","360272","20563","20563_360272"
"149","297525","67027","67027_297525"
"150","361648","73658","73658_361648"
"151","24837","21956","21956_24837"
"152","313038","54383","54383_313038"
"153","406226","406220","406220_406226"
"154","25626","16691","16691_25626"
"155","315323","16682","16682_315323"
"156","406228","16681","16681_406228"
"157","300250","16678","16678_300250"
"158","683613","56735","56735_683613"
"159","683720","223917","223917_683720"
"160","300248","223915","223915_300248"
"161","300242","110310","110310_300242"
"162","300247","109052","109052_300247"
"163","406227","105866","105866_406227"
"164","407757","77055","77055_407757"
"165","366992","239673","239673_366992"
"166","24710","19660","19660_24710"
"167","498576","171463","171463_498576"
"168","114516","110304","110304_114516"
"169","367912","14657","14657_367912"
"170","80843","53421","53421_80843"
"171","116685","16906","16906_116685"
"172","60374","16905","16905_60374"
"173","288770","17938","17938_288770"
"174","686980","83701","83701_686980"
"175","297566","11973","11973_297566"
"176","366545","74915","74915_366545"
"177","299809","12461","12461_299809"
"178","295230","12462","12462_295230"
"179","297406","12468","12468_297406"
"180","690693","234733","234733_690693"
"181","316273","17215","17215_316273"
"182","25538","20103","20103_25538"
"183","295270","107701","107701_295270"
"184","313506","20460","20460_313506"
"185","114592","20877","20877_114592"
"186","292554","20871","20871_292554"
"187","361403","21750","21750_361403"
"188","687575","108121","108121_687575"
"189","296083","228545","228545_296083"
"190","113927","93687","93687_113927"
"191","64665","14251","14251_64665"
"192","24954","16337","16337_24954"
"193","50646","19229","19229_50646"
"194","313228","16348","16348_313228"
"195","287473","140859","140859_287473"
"196","170520","114886","114886_170520"
"197","25585","15903","15903_25585"
"198","303373","217012","217012_303373"
"199","314431","278203","278203_314431"
"200","287751","69444","69444_287751"
"201","363168","69032","69032_363168"
"202","364745","67328","67328_364745"
"203","362881","77397","77397_362881"
"204","287557","75622","75622_287557"
"205","315870","76365","76365_315870"
"206","295315","21384","21384_295315"
"207","24268","12870","12870_24268"
"208","114487","22413","22413_114487"
"209","54226","11820","11820_54226"
"210","500311","14562","14562_500311"
"211","306351","14559","14559_306351"
"212","24968","16913","16913_24968"
"213","289664","16826","16826_289664"
"214","114495","26399","26399_114495"
"215","303398","21385","21385_303398"
"216","361131","80720","80720_361131"
"217","114090","13654","13654_114090"
"218","304729","14633","14633_304729"
"219","293573","214766","214766_293573"
"220","79237","15242","15242_79237"
"221","246756","71609","71609_246756"
"222","100145871","11532","11532_100145871"
"223","309630","81630","81630_309630"
"224","114213","19434","19434_114213"
"225","369017","110308","110308_369017"
"226","497986","15414","15414_497986"
"227","304514","21388","21388_304514"
"228","405357","258973","258973_405357"
"229","293140","259066","259066_293140"
"230","404962","258407","258407_404962"
"231","404826","258451","258451_404826"
"232","315532","14247","14247_315532"
"233","25601","18390","18390_25601"
"234","24967","16912","16912_24967"
"235","294281","14977","14977_294281"
"236","296369","21925","21925_296369"
"237","29588","18992","18992_29588"
"238","362741","18511","18511_362741"
"239","24586","17967","17967_24586"
"240","103690132","15394","15394_103690132"
"241","54398","54397","54397_54398"
"242","83472","22235","22235_83472"
"243","114845","16599","16599_114845"
"244","64441","15500","15500_64441"
"245","24265","12715","12715_24265"
"246","304666","16596","16596_304666"
"247","56761","18131","18131_56761"
"248","29349","14179","14179_29349"
"249","316218","107477","107477_316218"
"250","60628","12767","12767_60628"
"251","83785","22339","22339_83785"
"252","282824","15571","15571_282824"
"253","100361765","103889","103889_100361765"
"254","25598","14079","14079_25598"
"255","54284","18741","18741_54284"
"256","291874","71805","71805_291874"
"257","287989","13845","13845_287989"
"258","25100","15377","15377_25100"
"259","171569","100689","100689_171569"
"260","364706","17300","17300_364706"
"261","259241","353187","353187_259241"
"262","124451","16873","16873_124451"
"263","293046","17293","17293_293046"
"264","308766","17292","17292_308766"
"265","84380","13363","13363_84380"
"266","25431","13395","13395_25431"
"267","293990","22423","22423_293990"
"268","317715","14836","14836_317715"
"269","303991","15430","15430_303991"
"270","24482","16000","16000_24482"
"271","24584","17907","17907_24584"
"272","25232","22174","22174_25232"
"273","24598","18125","18125_24598"
"274","500129","15398","15398_500129"
"275","298449","75753","75753_298449"
"276","288736","116810","116810_288736"
"277","171566","171567","171567_171566"
"278","60352","29857","29857_60352"
"279","116490","20613","20613_116490"
"280","84426","22417","22417_84426"
"281","685360","13798","13798_685360"
"282","89810","14539","14539_89810"
"283","25172","14460","14460_25172"
"284","25081","11806","11806_25081"
"285","306748","57266","57266_306748"
"286","140908","12568","12568_140908"
"287","29425","19173","19173_29425"
"288","24838","21957","21957_24838"
"289","84350","13433","13433_84350"
"290","64030","16590","16590_64030"
"291","25196","16324","16324_25196"
"292","497987","15413","15413_497987"
"293","252835","14563","14563_252835"
"294","304277","54188","54188_304277"
"295","25125","20848","20848_25125"
"296","170671","16871","16871_170671"
"297","315497","57246","57246_315497"
"298","89804","21687","21687_89804"
"299","299691","12952","12952_299691"
"300","79559","11658","11658_79559"
"301","140926","13163","13163_140926"
"302","317268","11878","11878_317268"
"303","29410","18014","18014_29410"
"304","25483","17702","17702_25483"
"305","25509","18508","18508_25509"
"306","317335","13205","13205_317335"
"307","100312982","26900","26900_100312982"
"308","364073","110957","110957_364073"
"309","81635","56417","56417_81635"
"310","366120","258987","258987_366120"
"311","24651","18770","18770_24651"
"312","114117","14704","14704_114117"
"313","24888","12048","12048_24888"
"314","24211","11928","11928_24211"
"315","84588","18417","18417_84588"
"316","29244","14528","14528_29244"
"317","26200","17720","17720_26200"
"318","24239","12288","12288_24239"
"319","25319","14319","14319_25319"
"320","681066","71996","71996_681066"
"321","291470","67634","67634_291470"
"322","751812","19428","19428_751812"
"323","84509","19384","19384_84509"
"324","313163","75471","75471_313163"
"325","54315","22228","22228_54315"
"326","24717","212541","212541_24717"
"327","100363275","78560","78560_100363275"
"328","29148","17928","17928_29148"
"329","498575","15209","15209_498575"
"330","290537","72993","72993_290537"
"331","364418","18092","18092_364418"
"332","81644","12057","12057_81644"
"333","29417","17283","17283_29417"
"334","299588","258305","258305_299588"
"335","81518","17261","17261_81518"
"336","78974","20473","20473_78974"
"337","64362","13346","13346_64362"
"338","81717","13017","13017_81717"
"339","679110","212398","212398_679110"
"340","252834","242316","242316_252834"
"341","114502","18505","18505_114502"
"342","307514","13824","13824_307514"
"343","24887","12028","12028_24887"
"344","288153","15436","15436_288153"
"345","306254","66923","66923_306254"
"346","60349","26424","26424_60349"
"347","363294","65960","65960_363294"
"348","83817","11423","11423_83817"
"349","79222","14919","14919_79222"
"350","26199","17718","17718_26199"
"351","29361","20665","20665_29361"
"352","686117","17268","17268_686117"
"353","84424","21887","21887_84424"
"354","50687","16728","16728_50687"
"355","25296","12159","12159_25296"
"356","288617","22021","22021_288617"
"357","29382","13016","13016_29382"
"358","292301","20997","20997_292301"
"359","29657","11865","11865_29657"
"360","58946","19876","19876_58946"
"361","83501","12558","12558_83501"
"362","25098","15375","15375_25098"
"363","25682","19015","19015_25682"
"364","140586","20682","20682_140586"
"365","288259","14450","14450_288259"
"366","368178","15427","15427_368178"
"367","25599","16149","16149_25599"
"368","363854","15568","15568_363854"
"369","29373","12156","12156_29373"
"370","360635","18612","18612_360635"
"371","295691","20378","20378_295691"
"372","499497","17260","17260_499497"
"373","287467","327958","327958_287467"
"374","58964","54369","54369_58964"
"375","64044","12370","12370_64044"
"376","25674","14654","14654_25674"
"377","24860","22227","22227_24860"
"378","25747","19013","19013_25747"
"379","25421","12960","12960_25421"
"380","170901","13638","13638_170901"
"381","26194","17717","17717_26194"
"382","360406","19268","19268_360406"
"383","294322","18771","18771_294322"
"384","303491","15407","15407_303491"
"385","292934","13172","13172_292934"
"386","266608","14371","14371_266608"
"387","116640","21923","21923_116640"
"388","307505","12385","12385_307505"
"389","500453","18507","18507_500453"
"390","25104","18563","18563_25104"
"391","288152","15434","15434_288152"
"392","116545","19009","19009_116545"
"393","287716","19192","19192_287716"
"394","686310","13846","13846_686310"
"395","361825","20587","20587_361825"
"396","303488","15410","15410_303488"
"397","85489","22160","22160_85489"
"398","65155","11655","11655_65155"
"399","266715","14365","14365_266715"
"400","313504","17301","17301_313504"
"401","171113","53619","53619_171113"
"402","499951","14464","14464_499951"
"403","294640","18420","18420_294640"
"404","81808","13865","13865_81808"
"405","308406","20475","20475_308406"
"406","116683","13640","13640_116683"
"407","282582","22419","22419_282582"
"408","29362","21685","21685_29362"
"409","497988","15412","15412_497988"
"410","363577","16428","16428_363577"
"411","25646","18423","18423_25646"
"412","315191","14114","14114_315191"
"413","25261","15901","15901_25261"
"414","360546","13643","13643_360546"
"415","29146","16449","16449_29146"
"416","25524","19156","19156_25524"
"417","289720","76943","76943_289720"
"418","311876","18516","18516_311876"
"419","364529","73316","73316_364529"
"420","114523","18208","18208_114523"
"421","114109","18091","18091_114109"
"422","84358","13637","13637_84358"
"423","24514","16452","16452_24514"
"424","25012","20614","20614_25012"
"425","288154","15433","15433_288154"
"426","24277","12966","12966_24277"
"427","301468","12965","12965_301468"
"428","362247","56407","56407_362247"
"429","59328","17129","17129_59328"
"430","25114","14186","14186_25114"
"431","84027","56637","56637_84027"
"432","300262","15421","15421_300262"
"433","24667","19043","19043_24667"
"434","24232","12266","12266_24232"
"435","58868","14362","14362_58868"
"436","304947","18514","18514_304947"
"437","360971","18082","18082_360971"
"438","65160","12729","12729_65160"
"439","296499","13392","13392_296499"
"440","432358","15572","15572_432358"
"441","315644","170752","170752_315644"
"442","24705","19401","19401_24705"
"443","24883","22431","22431_24883"
"444","65129","12737","12737_65129"
"445","364855","18998","18998_364855"
"446","25009","22321","22321_25009"
"447","24605","18176","18176_24605"
"448","64558","14366","14366_64558"
"449","307035","75739","75739_307035"
"450","29357","17126","17126_29357"
"451","58919","12443","12443_58919"
"452","292755","233038","233038_292755"
"453","29535","18609","18609_29535"
"454","307641","13000","13000_307641"
"455","315338","209448","209448_315338"
"456","301742","54160","54160_301742"
"457","79241","15402","15402_79241"
"458","24881","22408","22408_24881"
"459","117268","20218","20218_117268"
"460","287638","13393","13393_287638"
"461","25729","12447","12447_25729"
"462","25557","20845","20845_25557"
"463","64512","57265","57265_64512"
"464","100911859","109663","109663_100911859"
"465","312936","20671","20671_312936"
"466","81517","17242","17242_81517"
"467","315564","19649","19649_315564"
"468","64021","70771","70771_64021"
"469","293701","26379","26379_293701"
"470","25664","19016","19016_25664"
"471","29555","22355","22355_29555"
"472","306071","18826","18826_306071"
"473","24688","19132","19132_24688"
"474","29134","12006","12006_29134"
"475","83837","68010","68010_83837"
"476","296566","69454","69454_296566"
"477","246246","241274","241274_246246"
"478","25705","21417","21417_25705"
"479","500000","64945","64945_500000"
"480","26195","17708","17708_26195"
"481","25640","21410","21410_25640"
"482","25085","21823","21823_25085"
"483","366214","18088","18088_366214"
"484","25662","16008","16008_25662"
"485","502857","384452","384452_502857"
"486","289311","27217","27217_289311"
"487","684148","27756","27756_684148"
"488","289316","320202","320202_289316"
"489","498299","13590","13590_498299"
"490","114504","17703","17703_114504"
"491","25159","14461","14461_25159"
"492","170840","53945","53945_170840"
"493","85471","14462","14462_85471"
"494","293537","15373","15373_293537"
"495","286911","67373","67373_286911"
"496","24691","22072","22072_24691"
"497","83427","14694","14694_83427"
"498","24898","13162","13162_24898"
"499","29577","15205","15205_29577"
"500","25631","17127","17127_25631"
"501","266714","17921","17921_266714"
"502","78963","11783","11783_78963"
"503","361798","110147","110147_361798"
"504","304407","12740","12740_304407"
"505","25221","21674","21674_25221"
"506","25402","12367","12367_25402"
"507","288909","244551","244551_288909"
"508","25529","19280","19280_25529"
"509","300803","80907","80907_300803"
"510","310090","13206","13206_310090"
"511","309447","16825","16825_309447"
"512","29424","15194","15194_29424"
"513","308831","23966","23966_308831"
"514","29751","20346","20346_29751"
"515","50998","12812","12812_50998"
"516","310738","18049","18049_310738"
"517","116549","12995","12995_116549"
"518","29601","14616","14616_29601"
"519","314856","17246","17246_314856"
"520","688999","15438","15438_688999"
"521","502935","14048","14048_502935"
"522","79245","15499","15499_79245"
"523","317674","14367","14367_317674"
"524","361096","22772","22772_361096"
"525","287423","84653","84653_287423"
"526","24460","15426","15426_24460"
"527","81650","13001","13001_81650"
"528","26954","19744","19744_26954"
"529","359959","69159","69159_359959"
"530","170917","12953","12953_170917"
"531","170633","14174","14174_170633"
"532","24312","13361","13361_24312"
"533","688517","17850","17850_688517"
"534","260320","14068","14068_260320"
"535","309377","54612","54612_309377"
"536","26201","17719","17719_26201"
"537","26192","17711","17711_26192"
"538","24214","11932","11932_24214"
"539","29673","26443","26443_29673"
"540","114494","12428","12428_114494"
"541","362591","17764","17764_362591"
"542","83615","54411","54411_83615"
"543","117106","12492","12492_117106"
"544","65045","52040","52040_65045"
"545","25176","11740","11740_25176"
"546","361808","20630","20630_361808"
"547","54312","53600","53600_54312"
"548","246232","67883","67883_246232"
"549","171304","16551","16551_171304"
"550","25718","16001","16001_25718"
"551","289229","93840","93840_289229"
"552","24273","12954","12954_24273"
"553","114500","14472","14472_114500"
"554","292804","14751","14751_292804"
"555","680102","23937","23937_680102"
"556","688394","17116","17116_688394"
"557","24693","19224","19224_24693"
"558","25690","11622","11622_25690"
"559","24609","18263","18263_24609"
"560","24330","13653","13653_24330"
"561","114125","13389","13389_114125"
"562","309680","54427","54427_309680"
"563","83467","20564","20564_83467"
"564","65132","53624","53624_65132"
"565","313757","20481","20481_313757"
"566","303811","13544","13544_303811"
"567","60661","17187","17187_60661"
"568","25628","21869","21869_25628"
"569","24907","13405","13405_24907"
"570","406164","18515","18515_406164"
"571","100911668","15395","15395_100911668"
"572","113911","14918","14918_113911"
"573","289754","22433","22433_289754"
"574","337868","17927","17927_337868"
"575","84598","16451","16451_84598"
"576","64456","233744","233744_64456"
"577","303469","13394","13394_303469"
"578","294283","19732","19732_294283"
"579","363640","259009","259009_363640"
"580","293809","258991","258991_293809"
"581","299593","259044","259044_299593"
"582","404975","259026","259026_404975"
"583","405280","259074","259074_405280"
"584","287501","259008","259008_287501"
"585","366122","258982","258982_366122"
"586","296678","258943","258943_296678"
"587","405136","258990","258990_405136"
"588","300411","258908","258908_300411"
"589","291929","258858","258858_291929"
"590","404972","259025","259025_404972"
"591","405951","258974","258974_405951"
"592","287502","259010","259010_287502"
"593","405386","258913","258913_405386"
"594","296679","258941","258941_296679"
"595","404819","258972","258972_404819"
"596","56821","258944","258944_56821"
"597","299596","18357","18357_299596"
"598","287262","18351","18351_287262"
"599","405131","18346","18346_405131"
"600","404808","18331","18331_404808"
"601","315452","18322","18322_315452"
"602","404967","18321","18321_404967"
"603","405133","18310","18310_405133"
"604","405112","227794","227794_405112"
"605","404971","193053","193053_404971"
"606","299586","257883","257883_299586"
"607","404796","258396","258396_404796"
"608","296003","258391","258391_296003"
"609","405329","258366","258366_405329"
"610","405328","258360","258360_405328"
"611","687896","258343","258343_687896"
"612","290003","258316","258316_290003"
"613","405179","258249","258249_405179"
"614","404968","258236","258236_404968"
"615","296689","258656","258656_296689"
"616","405132","258647","258647_405132"
"617","405115","258620","258620_405115"
"618","296682","258616","258616_296682"
"619","84407","12552","12552_84407"
"620","24653","18783","18783_24653"
"621","29710","20273","20273_29710"
"622","289740","64934","64934_289740"
"623","25671","17125","17125_25671"
"624","29421","22275","22275_29421"
"625","79257","12005","12005_79257"
"626","192646","244701","244701_192646"
"627","313507","21349","21349_313507"
"628","54278","18227","18227_54278"
"629","63880","100037258","100037258_63880"
"630","362915","69787","69787_362915"
"631","29508","18044","18044_29508"
"632","25120","11298","11298_25120"
"633","306636","13642","13642_306636"
"634","361514","17537","17537_361514"
"635","317376","209446","209446_317376"
"636","25273","319757","319757_25273"
"637","306330","16598","16598_306330"
"638","24253","12608","12608_24253"
"639","298652","63958","63958_298652"
"640","257634","16869","16869_257634"
"641","29345","12406","12406_29345"
"642","301252","15516","15516_301252"
"643","501099","20807","20807_501099"
"644","361801","20182","20182_361801"
"645","50672","13618","13618_50672"
"646","24923","56216","56216_24923"
"647","498982","17863","17863_498982"
"648","287647","15417","15417_287647"
"649","29200","16323","16323_29200"
"650","300228","65970","65970_300228"
"651","25697","13039","13039_25697"
"652","290975","58518","58518_290975"
"653","498688","56835","56835_498688"
"654","680718","56094","56094_680718"
"655","290970","56092","56092_290970"
"656","29174","26898","26898_29174"
"657","286916","214639","214639_286916"
"658","360611","56358","56358_360611"
"659","252833","238057","238057_252833"
"660","54276","18013","18013_54276"
"661","114557","24117","24117_114557"
"662","25534","19133","19133_25534"
"663","24851","22003","22003_24851"
"664","25186","13641","13641_25186"
"665","89807","11600","11600_89807"
"666","84006","18759","18759_84006"
"667","26198","17709","17709_26198"
"668","24297","13077","13077_24297"
"669","24296","13076","13076_24296"
"670","29415","14739","14739_29415"
"671","25367","110532","110532_25367"
"672","299138","20474","20474_299138"
"673","680246","21667","21667_680246"
"674","312195","18181","18181_312195"
"675","60430","17210","17210_60430"
"676","24534","16832","16832_24534"
"677","116777","12560","12560_116777"
"678","83502","12550","12550_83502"
"679","289759","17898","17898_289759"
"680","368158","19885","19885_368158"
"681","84399","16147","16147_84399"
"682","500023","13396","13396_500023"
"683","316052","13813","13813_316052"
"684","24697","19246","19246_24697"
"685","314251","20741","20741_314251"
"686","299766","17877","17877_299766"
"687","79225","15208","15208_79225"
"688","405107","258883","258883_405107"
"689","405950","258902","258902_405950"
"690","404986","258734","258734_404986"
"691","366104","258762","258762_366104"
"692","293815","258792","258792_293815"
"693","405947","258920","258920_405947"
"694","405086","258741","258741_405086"
"695","405026","258684","258684_405026"
"696","686900","404330","404330_686900"
"697","293781","258693","258693_293781"
"698","499237","258728","258728_499237"
"699","687082","258769","258769_687082"
"700","405974","258875","258875_405974"
"701","293789","258700","258700_293789"
"702","405091","258780","258780_405091"
"703","300603","18343","18343_300603"
"704","293812","258097","258097_293812"
"705","405076","258086","258086_405076"
"706","404874","258085","258085_404874"
"707","367064","257912","257912_367064"
"708","405345","257872","257872_405345"
"709","367061","258432","258432_367061"
"710","295713","258426","258426_295713"
"711","405123","258420","258420_405123"
"712","405106","258310","258310_405106"
"713","286959","258269","258269_286959"
"714","405092","258225","258225_405092"
"715","367067","258606","258606_367067"
"716","404812","258466","258466_404812"
"717","94342","224727","224727_94342"
"718","24323","13614","13614_24323"
"719","286922","60527","60527_286922"
"720","83512","56473","56473_83512"
"721","24483","16002","16002_24483"
"722","304913","329278","329278_304913"
"723","25650","11931","11931_25650"
"724","294515","56484","56484_294515"
"725","25703","19662","19662_25703"
"726","81753","213527","213527_81753"
"727","81649","26416","26416_81649"
"728","295922","56428","56428_295922"
"729","24952","14526","14526_24952"
"730","29619","12227","12227_29619"
"731","102553842","15431","15431_102553842"
"732","117275","12667","12667_117275"
"733","83782","18103","18103_83782"
"734","306451","23965","23965_306451"
"735","24604","109648","109648_24604"
"736","29471","19065","19065_29471"
"737","680486","13164","13164_680486"
"738","362464","272322","272322_362464"
"739","84489","14184","14184_84489"
"740","25737","18538","18538_25737"
"741","29458","18012","18012_29458"
"742","81507","12166","12166_81507"
"743","56813","19228","19228_56813"
"744","502970","30924","30924_502970"
"745","80841","12140","12140_80841"
"746","365901","14686","14686_365901"
"747","26193","17716","17716_26193"
"748","25301","12611","12611_25301"
"749","54264","16658","16658_54264"
"750","310914","12167","12167_310914"
"751","293267","15135","15135_293267"
"752","191575","18102","18102_191575"
"753","362510","17279","17279_362510"
"754","365564","53404","53404_365564"
"755","303828","104156","104156_303828"
"756","25119","15064","15064_25119"
"757","50567","17254","17254_50567"
"758","25496","18128","18128_25496"
"759","296318","29812","29812_296318"
"760","29466","14797","14797_29466"
"761","84353","12387","12387_84353"
"762","29203","15221","15221_29203"
"763","287168","15126","15126_287168"
"764","24373","14313","14313_24373"
"765","499380","13797","13797_499380"
"766","81710","17701","17701_81710"
"767","171009","11474","11474_171009"
"768","499669","78784","78784_499669"
"769","299331","15519","15519_299331"
"770","295261","50874","50874_295261"
"771","24533","16828","16828_24533"
"772","29556","17888","17888_29556"
"773","29557","140781","140781_29557"
"774","29584","14618","14618_29584"
"775","363143","14685","14685_363143"
"776","26202","17721","17721_26202"
"777","246311","382051","382051_246311"
"778","684179","258749","258749_684179"
"779","293330","259099","259099_293330"
"780","293244","259085","259085_293244"
"781","365332","258809","258809_365332"
"782","684171","259107","259107_684171"
"783","293251","258808","258808_293251"
"784","405298","259103","259103_405298"
"785","293223","259054","259054_293223"
"786","365337","259063","259063_365337"
"787","293193","258750","258750_293193"
"788","405001","259057","259057_405001"
"789","293243","259086","259086_293243"
"790","293247","259084","259084_293247"
"791","293289","258746","258746_293289"
"792","293280","259088","259088_293280"
"793","293303","258817","258817_293303"
"794","293325","384703","384703_293325"
"795","293339","259072","259072_293339"
"796","293281","259075","259075_293281"
"797","405015","259115","259115_405015"
"798","365330","258819","258819_365330"
"799","405915","259062","259062_405915"
"800","293232","258726","258726_293232"
"801","293192","259106","259106_293192"
"802","293255","259126","259126_293255"
"803","293301","259050","259050_293301"
"804","293318","258810","258810_293318"
"805","293285","259058","259058_293285"
"806","293210","259092","259092_293210"
"807","404999","259052","259052_404999"
"808","365323","259097","259097_365323"
"809","293260","258818","258818_293260"
"810","405904","259095","259095_405904"
"811","405911","18369","18369_405911"
"812","293263","18368","18368_293263"
"813","365333","57250","57250_365333"
"814","293342","56860","56860_293342"
"815","170816","170639","170639_170816"
"816","293273","257949","257949_293273"
"817","293198","257926","257926_293198"
"818","293189","233578","233578_293189"
"819","293227","258378","258378_293227"
"820","293302","258377","258377_293302"
"821","684208","258358","258358_684208"
"822","405918","258355","258355_405918"
"823","405913","258351","258351_405913"
"824","293282","258326","258326_293282"
"825","293188","258322","258322_293188"
"826","293234","258311","258311_293234"
"827","293228","258246","258246_293228"
"828","405909","258156","258156_405909"
"829","365328","258139","258139_365328"
"830","25495","18121","18121_25495"
"831","58827","17294","17294_58827"
"832","29423","14432","14432_29423"
"833","50662","12394","12394_50662"
"834","362176","16909","16909_362176"
"835","103690130","15400","15400_103690130"
"836","312320","140488","140488_312320"
"837","25701","17859","17859_25701"
"838","689704","114889","114889_689704"
"839","316539","13838","13838_316539"
"840","360625","268482","268482_360625"
"841","360626","16669","16669_360626"
"842","287702","16667","16667_287702"
"843","287700","16665","16665_287700"
"844","287701","16664","16664_287701"
"845","287699","16663","16663_287699"
"846","450225","16661","16661_450225"
"847","450228","16660","16660_450228"
"848","450231","68239","68239_450231"
"849","287675","75706","75706_287675"
"850","114588","12561","12561_114588"
"851","79558","11477","11477_79558"
"852","25218","224705","224705_25218"
"853","81512","16840","16840_81512"
"854","89805","11601","11601_89805"
"855","307403","12978","12978_307403"
"856","301233","14913","14913_301233"
"857","81818","22352","22352_81818"
"858","307721","16373","16373_307721"
"859","24503","226180","226180_24503"
"860","364054","258758","258758_364054"
"861","289239","258759","258759_289239"
"862","289240","258880","258880_289240"
"863","304991","258302","258302_304991"
"864","365302","258196","258196_365302"
"865","29381","11479","11479_29381"
"866","81679","16480","16480_81679"
"867","140584","22411","22411_140584"
